Type,Accuracy,Precision A,Precision B,Recall A,Recall B,F-Score A,F-Score B,Support A,Support B,Threshold,Time (s)
BruteForce K-Fold 0,0.3125,---,---,---,---,---,---,---,---,0.75,163.03334712982178
BruteForce K-Fold 1,0.31746031746031744,---,---,---,---,---,---,---,---,0.75,145.53829431533813
BruteForce K-Fold 0,0.6857142857142857,---,---,---,---,---,---,---,---,0.48,1250.6178061962128
BruteForce K-Fold 1,0.6923076923076923,---,---,---,---,---,---,---,---,0.48,31033.05223608017
BruteForce K-Fold 2,0.6923076923076923,---,---,---,---,---,---,---,---,0.0,1268.0877137184143
BruteForce K-Fold 0,0.6857142857142857,---,---,---,---,---,---,---,---,0.0,171.90466713905334
BruteForce K-Fold 1,0.6923076923076923,---,---,---,---,---,---,---,---,0.0,172.98114204406738
BruteForce K-Fold 2,0.6923076923076923,---,---,---,---,---,---,---,---,0.0,170.78161787986755
BruteForce K-Fold 0,0.6857142857142857,---,---,---,---,---,---,---,---,0.0,184.06084060668945
BruteForce K-Fold 1,0.6923076923076923,---,---,---,---,---,---,---,---,0.0,197.2784366607666
